Time,Device_ID,Type,Mine_N,Mine_E,Altitude,Status
31/08/2023 12:30,009,LANDMOS,244.665,1101.585,362.435,0
31/08/2023 12:30,003,LANDMOS,1611.308,-5261.427,464.973,0
31/08/2023 12:30,001,LANDMOS,706.633,-5172.017,476.960,0
31/08/2023 12:30,004,LANDMOS,1225.292,-5030.791,444.590,0
31/08/2023 12:30,007,LANDMOS,4830.306,-5535.106,483.449,0
31/08/2023 12:30,006,LANDMOS,5485.047,-5178.857,487.343,0
31/08/2023 12:30,010,LANDMOS,4902.397,-4674.523,438.466,3
13/09/2023 13:30,007,LANDMOS,4830.292,-5535.120,483.461,0
31/08/2023 12:45,001,LANDMOS,706.629,-5172.023,476.929,0
31/08/2023 12:45,003,LANDMOS,1611.310,-5261.425,464.939,0
31/08/2023 12:45,002,LANDMOS,5275.352,-5424.404,484.873,0
31/08/2023 12:45,004,LANDMOS,1225.287,-5030.795,444.581,0
31/08/2023 12:45,007,LANDMOS,4830.304,-5535.112,483.443,0
31/08/2023 12:45,008,LANDMOS,3345.550,-951.367,210.615,4
31/08/2023 12:45,009,LANDMOS,244.662,1101.586,362.428,0
31/08/2023 12:45,005,LANDMOS,5054.172,-5250.479,474.145,0
31/08/2023 12:45,006,LANDMOS,5485.053,-5178.869,487.363,0
31/08/2023 12:45,010,LANDMOS,4902.392,-4674.526,438.462,3
13/09/2023 13:30,008,LANDMOS,3345.231,-950.816,212.773,0
31/08/2023 13:00,001,LANDMOS,706.623,-5172.015,476.924,0
31/08/2023 13:00,002,LANDMOS,5275.367,-5424.415,484.906,0
31/08/2023 13:00,005,LANDMOS,5054.172,-5250.488,474.155,0
13/09/2023 13:30,009,LANDMOS,244.682,1101.579,362.455,0
31/08/2023 13:00,004,LANDMOS,1225.292,-5030.790,444.556,0
31/08/2023 13:00,003,LANDMOS,1611.299,-5261.424,464.923,0
13/09/2023 13:30,010,LANDMOS,4902.376,-4674.528,438.493,3
31/08/2023 13:00,006,LANDMOS,5485.061,-5178.874,487.389,0
31/08/2023 13:00,008,LANDMOS,3344.763,-950.674,211.830,4
31/08/2023 13:00,009,LANDMOS,244.674,1101.578,362.439,0
31/08/2023 13:00,007,LANDMOS,4830.314,-5535.120,483.471,0
01/09/2023 19:30,008,LANDMOS,3345.228,-950.816,212.770,0
01/09/2023 19:30,009,LANDMOS,244.687,1101.555,362.414,0
31/08/2023 13:00,010,LANDMOS,4902.409,-4674.537,438.495,3
01/09/2023 19:30,006,LANDMOS,5485.052,-5178.879,487.308,0
01/09/2023 19:30,007,LANDMOS,4830.305,-5535.118,483.423,0
01/09/2023 19:30,010,LANDMOS,4902.405,-4674.550,438.433,3
02/09/2023 00:00,001,LANDMOS,706.598,-5172.037,476.978,0
31/08/2023 13:15,001,LANDMOS,706.623,-5172.012,476.923,0
31/08/2023 13:15,009,LANDMOS,244.660,1101.575,362.410,0
31/08/2023 13:15,010,LANDMOS,4902.407,-4674.535,438.475,3
31/08/2023 13:15,002,LANDMOS,5275.369,-5424.401,484.902,0
31/08/2023 13:15,005,LANDMOS,5054.169,-5250.485,474.157,0
31/08/2023 13:15,008,LANDMOS,3344.785,-949.750,210.284,4
31/08/2023 13:15,004,LANDMOS,1225.290,-5030.790,444.563,0
31/08/2023 13:15,003,LANDMOS,1611.298,-5261.421,464.920,0
31/08/2023 13:15,007,LANDMOS,4830.315,-5535.115,483.468,0
31/08/2023 13:15,006,LANDMOS,5485.059,-5178.860,487.384,0
01/09/2023 19:45,001,LANDMOS,706.606,-5172.015,476.961,0
31/08/2023 13:30,001,LANDMOS,706.619,-5172.019,476.926,0
31/08/2023 13:30,003,LANDMOS,1611.311,-5261.433,464.928,0
31/08/2023 13:30,004,LANDMOS,1225.293,-5030.787,444.551,0
31/08/2023 13:30,002,LANDMOS,5275.356,-5424.402,484.899,0
31/08/2023 13:30,007,LANDMOS,4830.297,-5535.116,483.461,0
31/08/2023 13:30,009,LANDMOS,244.669,1101.576,362.427,0
31/08/2023 13:30,006,LANDMOS,5485.049,-5178.863,487.387,0
31/08/2023 13:30,005,LANDMOS,5054.173,-5250.482,474.161,0
31/08/2023 13:30,010,LANDMOS,4902.392,-4674.534,438.481,3
31/08/2023 13:30,008,LANDMOS,3344.915,-949.546,209.807,4
01/09/2023 19:45,002,LANDMOS,5275.369,-5424.411,484.861,0
31/08/2023 13:45,001,LANDMOS,706.619,-5172.031,476.936,0
31/08/2023 13:45,008,LANDMOS,3345.857,-950.032,209.844,4
31/08/2023 13:45,006,LANDMOS,5485.044,-5178.868,487.378,0
31/08/2023 13:45,002,LANDMOS,5275.344,-5424.412,484.873,0
31/08/2023 13:45,005,LANDMOS,5054.166,-5250.492,474.143,0
31/08/2023 13:45,007,LANDMOS,4830.291,-5535.116,483.456,0
31/08/2023 13:45,004,LANDMOS,1225.294,-5030.801,444.572,0
31/08/2023 13:45,003,LANDMOS,1611.312,-5261.428,464.943,0
31/08/2023 13:45,009,LANDMOS,244.666,1101.572,362.425,0
31/08/2023 13:45,010,LANDMOS,4902.393,-4674.531,438.481,3
01/09/2023 19:45,003,LANDMOS,1611.299,-5261.442,464.922,0
31/08/2023 14:00,008,LANDMOS,3346.115,-951.181,212.660,4
31/08/2023 14:00,002,LANDMOS,5275.350,-5424.406,484.881,0
31/08/2023 14:00,006,LANDMOS,5485.046,-5178.867,487.385,0
31/08/2023 14:00,005,LANDMOS,5054.165,-5250.489,474.169,0
31/08/2023 14:00,004,LANDMOS,1225.298,-5030.796,444.557,0
31/08/2023 14:00,003,LANDMOS,1611.317,-5261.427,464.928,0
31/08/2023 14:00,001,LANDMOS,706.622,-5172.022,476.924,0
31/08/2023 14:00,009,LANDMOS,244.677,1101.569,362.454,0
31/08/2023 14:00,007,LANDMOS,4830.293,-5535.115,483.459,0
31/08/2023 14:00,010,LANDMOS,4902.396,-4674.530,438.490,3
01/09/2023 19:45,004,LANDMOS,1225.278,-5030.788,444.575,0
31/08/2023 14:15,001,LANDMOS,706.625,-5172.021,476.940,0
31/08/2023 14:15,008,LANDMOS,3344.953,-949.756,209.185,4
31/08/2023 14:15,002,LANDMOS,5275.352,-5424.409,484.863,0
31/08/2023 14:15,006,LANDMOS,5485.050,-5178.867,487.369,0
31/08/2023 14:15,009,LANDMOS,244.688,1101.565,362.484,0
31/08/2023 14:15,004,LANDMOS,1225.298,-5030.794,444.546,0
31/08/2023 14:15,003,LANDMOS,1611.310,-5261.434,464.929,0
31/08/2023 14:15,005,LANDMOS,5054.178,-5250.489,474.160,0
31/08/2023 14:15,007,LANDMOS,4830.301,-5535.115,483.447,0
31/08/2023 14:15,010,LANDMOS,4902.399,-4674.530,438.472,3
01/09/2023 19:45,005,LANDMOS,5054.188,-5250.500,474.112,0
31/08/2023 14:30,001,LANDMOS,706.629,-5172.020,476.969,0
13/09/2023 13:45,003,LANDMOS,1611.291,-5261.438,464.951,0
31/08/2023 14:30,002,LANDMOS,5275.362,-5424.413,484.865,0
13/09/2023 13:45,001,LANDMOS,706.637,-5171.986,476.944,0
31/08/2023 14:30,004,LANDMOS,1225.303,-5030.793,444.567,0
31/08/2023 14:30,003,LANDMOS,1611.314,-5261.429,464.948,0
13/09/2023 13:45,004,LANDMOS,1225.287,-5030.776,444.585,0
13/09/2023 13:45,002,LANDMOS,5275.444,-5424.409,484.837,0
31/08/2023 14:30,005,LANDMOS,5054.185,-5250.492,474.158,0
13/09/2023 13:45,005,LANDMOS,5053.907,-5250.269,474.065,3
13/09/2023 13:45,006,LANDMOS,5485.370,-5179.028,486.666,3
13/09/2023 13:45,010,LANDMOS,4902.372,-4674.519,438.507,3
13/09/2023 13:45,008,LANDMOS,3345.232,-950.820,212.766,0
13/09/2023 13:45,009,LANDMOS,244.677,1101.586,362.442,0
13/09/2023 13:45,007,LANDMOS,4830.286,-5535.110,483.478,0
31/08/2023 14:30,006,LANDMOS,5485.046,-5178.878,487.355,0
10/09/2023 09:15,009,LANDMOS,244.652,1101.586,362.412,0
10/09/2023 09:15,007,LANDMOS,4830.316,-5535.119,483.394,0
10/09/2023 09:15,003,LANDMOS,1611.271,-5261.456,464.972,0
10/09/2023 09:15,001,LANDMOS,706.604,-5172.003,476.962,0
10/09/2023 09:15,006,LANDMOS,5485.343,-5179.031,486.779,3
10/09/2023 09:15,002,LANDMOS,5275.473,-5424.421,484.748,1
10/09/2023 09:15,005,LANDMOS,5053.958,-5250.300,474.020,3
10/09/2023 09:15,010,LANDMOS,4902.404,-4674.524,438.414,3
10/09/2023 09:15,008,LANDMOS,3345.209,-950.830,212.799,0
11/09/2023 20:45,002,LANDMOS,5275.450,-5424.392,484.791,0
11/09/2023 20:45,001,LANDMOS,706.637,-5172.017,476.906,0
10/09/2023 09:30,008,LANDMOS,3345.209,-950.830,212.803,0
10/09/2023 09:30,001,LANDMOS,706.602,-5172.006,476.966,0
31/08/2023 14:30,007,LANDMOS,4830.303,-5535.119,483.439,0
10/09/2023 09:30,006,LANDMOS,5485.341,-5179.035,486.798,3
10/09/2023 09:30,005,LANDMOS,5053.959,-5250.297,474.027,3
10/09/2023 09:30,003,LANDMOS,1611.274,-5261.456,464.970,0
10/09/2023 09:30,002,LANDMOS,5275.472,-5424.426,484.755,1
10/09/2023 09:30,009,LANDMOS,244.664,1101.586,362.440,0
10/09/2023 09:30,007,LANDMOS,4830.316,-5535.119,483.402,0
